user_id,timestamp,appliance_name,room,device_status,device_power_rating,duration_hours,energy_consumed_kwh,tariff_rate,bill_amount_estimate,recommended_action,actual_action_taken,temperature,user_feedback
User1,2025-06-01 00:00:00,AC,Kitchen,OFF,0.45,0.0,0.0,5.0,0.0,No action,Followed,29.0,Not useful
User1,2025-06-01 00:00:00,Fan,Kitchen,ON,0.73,0.5944366689744004,0.43,5.0,2.15,No action,Ignored,29.8,Useful
User1,2025-06-01 00:00:00,Light,Living Room,OFF,1.88,0.0,0.0,5.0,0.0,Turn off unused appliances,Ignored,34.9,Useful
User1,2025-06-01 00:00:00,Refrigerator,Laundry,OFF,0.11,0.0,0.0,5.0,0.0,Reduce AC usage,Followed,27.9,Useful
User1,2025-06-01 00:00:00,Washing Machine,Living Room,ON,0.54,0.9803166391310943,0.53,5.0,2.65,Turn off unused appliances,Followed,29.3,Not useful
User1,2025-06-01 00:00:00,Heater,Kitchen,OFF,0.99,0.0,0.0,5.0,0.0,Reduce AC usage,Followed,30.2,Useful
User1,2025-06-01 01:00:00,AC,Kitchen,ON,1.17,0.9566513167636396,1.12,5.0,5.6,Turn off unused appliances,Followed,20.2,Not useful
User1,2025-06-01 01:00:00,Fan,Laundry,ON,1.26,0.7624476391190936,0.96,5.0,4.8,No action,Followed,22.6,Useful
User1,2025-06-01 01:00:00,Light,Laundry,ON,0.91,0.8165210577382394,0.74,5.0,3.7,Turn off unused appliances,Ignored,28.5,Useful
User1,2025-06-01 01:00:00,Refrigerator,Kitchen,OFF,0.95,0.0,0.0,5.0,0.0,Turn off unused appliances,Ignored,33.9,Useful
User1,2025-06-01 01:00:00,Washing Machine,Laundry,ON,1.09,0.6778329808040495,0.74,5.0,3.7,Turn off unused appliances,Ignored,32.7,Useful
User1,2025-06-01 01:00:00,Heater,Living Room,ON,1.93,0.6900633742478861,1.33,5.0,6.65,No action,Ignored,24.1,Useful
User1,2025-06-01 02:00:00,AC,Kitchen,ON,0.9,0.2617273050558955,0.24,5.0,1.2,Reduce AC usage,Ignored,24.4,Useful
User1,2025-06-01 02:00:00,Fan,Kitchen,ON,1.6,0.7835064645614875,1.25,5.0,6.25,Use during off-peak,Followed,33.9,Not useful
User1,2025-06-01 02:00:00,Light,Bedroom,OFF,1.72,0.0,0.0,5.0,0.0,No action,Ignored,21.4,Useful
User1,2025-06-01 02:00:00,Refrigerator,Kitchen,OFF,1.37,0.0,0.0,5.0,0.0,No action,Ignored,24.1,Useful
User1,2025-06-01 02:00:00,Washing Machine,Bedroom,ON,1.71,0.9787840715418278,1.67,5.0,8.35,Reduce AC usage,Ignored,23.5,Not useful
User1,2025-06-01 02:00:00,Heater,Kitchen,ON,0.31,0.7829971672643405,0.24,5.0,1.2,No action,Followed,23.0,Not useful
User1,2025-06-01 03:00:00,AC,Kitchen,ON,1.42,0.6724566789822878,0.95,5.0,4.75,Reduce AC usage,Followed,29.1,Useful
User1,2025-06-01 03:00:00,Fan,Kitchen,ON,1.24,0.9571401779184858,1.19,5.0,5.95,Use during off-peak,Ignored,33.2,Not useful
User1,2025-06-01 03:00:00,Light,Bedroom,ON,0.97,0.32912069487270296,0.32,5.0,1.6,No action,Ignored,26.2,Not useful
User1,2025-06-01 03:00:00,Refrigerator,Kitchen,ON,0.78,0.34156596602550504,0.27,5.0,1.35,Turn off unused appliances,Followed,24.1,Useful
User1,2025-06-01 03:00:00,Washing Machine,Living Room,ON,0.68,0.5144266422506267,0.35,5.0,1.75,Turn off unused appliances,Ignored,28.0,Not useful
User1,2025-06-01 03:00:00,Heater,Bedroom,OFF,0.61,0.0,0.0,5.0,0.0,No action,Followed,22.5,Not useful
User1,2025-06-01 04:00:00,AC,Laundry,ON,0.22,0.5528771282935306,0.12,5.0,0.6,Turn off unused appliances,Ignored,23.7,Useful
User1,2025-06-01 04:00:00,Fan,Living Room,OFF,0.38,0.0,0.0,5.0,0.0,No action,Followed,24.0,Not useful
User1,2025-06-01 04:00:00,Light,Living Room,ON,0.76,0.27478804967541126,0.21,5.0,1.05,Reduce AC usage,Followed,30.2,Useful
User1,2025-06-01 04:00:00,Refrigerator,Laundry,ON,1.23,0.6646698168034959,0.82,5.0,4.1,Use during off-peak,Followed,25.5,Useful
User1,2025-06-01 04:00:00,Washing Machine,Kitchen,OFF,0.99,0.0,0.0,5.0,0.0,Turn off unused appliances,Ignored,26.0,Useful
User1,2025-06-01 04:00:00,Heater,Laundry,OFF,0.39,0.0,0.0,5.0,0.0,Use during off-peak,Ignored,30.4,Useful
User1,2025-06-01 05:00:00,AC,Laundry,ON,1.45,0.4151807856741612,0.6,5.0,3.0,Use during off-peak,Followed,25.2,Useful
User1,2025-06-01 05:00:00,Fan,Laundry,OFF,0.86,0.0,0.0,5.0,0.0,Use during off-peak,Ignored,32.6,Useful
User1,2025-06-01 05:00:00,Light,Laundry,OFF,0.5,0.0,0.0,5.0,0.0,Use during off-peak,Ignored,30.4,Useful
User1,2025-06-01 05:00:00,Refrigerator,Laundry,ON,1.08,0.9866262574970767,1.07,5.0,5.35,Reduce AC usage,Ignored,34.9,Not useful
User1,2025-06-01 05:00:00,Washing Machine,Laundry,ON,0.46,0.9119772573920047,0.42,5.0,2.1,Reduce AC usage,Followed,30.5,Not useful
User1,2025-06-01 05:00:00,Heater,Kitchen,OFF,0.87,0.0,0.0,5.0,0.0,Reduce AC usage,Ignored,32.8,Useful
User1,2025-06-01 06:00:00,AC,Laundry,OFF,1.37,0.0,0.0,5.0,0.0,Turn off unused appliances,Followed,25.6,Useful
User1,2025-06-01 06:00:00,Fan,Kitchen,OFF,0.64,0.0,0.0,5.0,0.0,Turn off unused appliances,Ignored,27.3,Useful
User1,2025-06-01 06:00:00,Light,Laundry,OFF,0.43,0.0,0.0,5.0,0.0,No action,Followed,27.4,Not useful
User1,2025-06-01 06:00:00,Refrigerator,Laundry,ON,1.47,0.8081278922924218,1.19,5.0,5.95,No action,Followed,28.1,Useful
User1,2025-06-01 06:00:00,Washing Machine,Kitchen,OFF,0.58,0.0,0.0,5.0,0.0,Turn off unused appliances,Ignored,34.7,Useful
User1,2025-06-01 06:00:00,Heater,Living Room,OFF,0.93,0.0,0.0,5.0,0.0,Reduce AC usage,Ignored,29.7,Useful
User1,2025-06-01 07:00:00,AC,Laundry,OFF,0.54,0.0,0.0,5.0,0.0,No action,Followed,28.6,Not useful
User1,2025-06-01 07:00:00,Fan,Bedroom,ON,0.99,0.9959128830980057,0.99,5.0,4.95,Turn off unused appliances,Followed,33.3,Not useful
User1,2025-06-01 07:00:00,Light,Bedroom,OFF,0.73,0.0,0.0,5.0,0.0,Turn off unused appliances,Followed,28.6,Not useful
